id_satelite,operadora,orbita,idade_anos,saude_bateria,degradacao_painel,status_giroscopio,custo_reposicao_mUSD,criticidade
SAT-001,Visiona,GEO,2.8,0.9,0.95,falha,368,essencial
SAT-002,OneWeb,MEO,18.1,0.14,0.69,nominal,173,essencial
SAT-003,Telesat,MEO,7.9,0.62,0.82,nominal,204,essencial
SAT-004,ViaSat,LEO,5.5,0.72,0.88,nominal,113,essencial
SAT-005,Embratel Star One,LEO,1.0,0.88,0.97,nominal,98,essencial
SAT-006,Embratel Star One,GEO,1.0,0.92,0.92,falha,366,comercial
SAT-007,ViaSat,GEO,0.5,0.95,1.0,nominal,393,essencial
SAT-008,Eutelsat,MEO,12.1,0.47,0.78,nominal,199,comercial
SAT-009,Telesat,LEO,5.5,0.75,0.9,nominal,95,essencial
SAT-010,SpaceBR,LEO,7.4,0.56,0.85,nominal,55,comercial
SAT-011,AEB,GEO,0.5,0.99,0.93,degradado,386,essencial
SAT-012,Eutelsat,GEO,20.0,0.05,0.6,nominal,373,essencial
SAT-013,AEB,GEO,10.7,0.45,0.78,nominal,395,essencial
SAT-014,AEB,GEO,1.4,0.96,0.94,nominal,402,comercial
SAT-015,Eutelsat,MEO,1.2,0.99,0.97,nominal,229,essencial
SAT-016,Visiona,LEO,1.2,0.99,0.99,nominal,112,experimental
SAT-017,SES,LEO,2.2,0.85,1.0,nominal,81,essencial
SAT-018,AEB,GEO,4.5,0.77,0.92,nominal,382,essencial
SAT-019,Eutelsat,MEO,3.4,0.85,0.95,nominal,236,experimental
SAT-020,Eutelsat,LEO,2.1,0.95,0.96,falha,67,comercial
SAT-021,Intelsat,LEO,5.7,0.7,0.81,nominal,74,essencial
SAT-022,Visiona,MEO,0.9,0.95,0.98,nominal,223,comercial
SAT-023,OneWeb,LEO,2.1,0.84,0.96,degradado,107,comercial
SAT-024,Intelsat,LEO,2.7,0.81,1.0,degradado,116,comercial
SAT-025,Intelsat,MEO,3.7,0.86,0.92,nominal,215,essencial
SAT-026,ViaSat,MEO,9.2,0.63,0.84,nominal,193,essencial
SAT-027,SES,MEO,1.3,0.93,0.97,nominal,201,comercial
SAT-028,Eutelsat,LEO,4.3,0.84,0.87,nominal,96,comercial
SAT-029,SES,GEO,5.4,0.76,0.94,falha,372,comercial
SAT-030,Telesat,LEO,0.5,0.94,1.0,degradado,115,essencial
SAT-031,ViaSat,LEO,5.6,0.75,0.93,nominal,76,comercial
SAT-032,OneWeb,GEO,1.1,1.0,0.94,nominal,351,comercial
SAT-033,SES,MEO,0.5,0.97,1.0,falha,186,essencial
SAT-034,Embratel Star One,GEO,17.8,0.22,0.61,nominal,382,essencial
SAT-035,AEB,MEO,20.0,0.05,0.64,nominal,178,comercial
SAT-036,Telesat,MEO,9.9,0.57,0.9,nominal,212,essencial
SAT-037,Visiona,LEO,2.2,0.9,0.92,nominal,97,essencial
SAT-038,OneWeb,LEO,0.6,0.96,0.97,falha,88,essencial
SAT-039,Telesat,LEO,6.9,0.67,0.87,falha,91,essencial
SAT-040,AEB,LEO,3.5,0.73,0.91,degradado,75,essencial
SAT-041,ViaSat,GEO,0.8,0.95,0.92,nominal,399,experimental
SAT-042,AEB,LEO,4.1,0.82,0.92,degradado,74,comercial
SAT-043,Intelsat,GEO,0.5,1.0,0.95,nominal,373,essencial
SAT-044,AEB,MEO,14.4,0.28,0.75,nominal,182,experimental
SAT-045,Intelsat,GEO,1.8,0.87,0.93,nominal,409,comercial
SAT-046,ViaSat,MEO,6.5,0.66,0.94,degradado,176,essencial
SAT-047,SpaceBR,MEO,2.2,0.94,0.93,degradado,226,essencial
SAT-048,Intelsat,LEO,4.4,0.81,0.9,nominal,85,essencial
SAT-049,Visiona,LEO,4.7,0.75,0.94,degradado,94,essencial
SAT-050,AEB,GEO,1.2,0.97,0.93,nominal,369,comercial
